cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2024-04,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
2024-05,100.0,43.33,83.33,76.67,46.67,43.33,63.33,40.0,50.0,33.33,73.33,63.33,50.0,20.0,40.0,60.0,26.67,16.67,26.67,16.67,63.33,36.67,56.67,50.0,46.67,30.0,86.67,76.67,66.67,63.33,0.0
2024-06,100.0,76.47,82.35,35.29,47.06,47.06,64.71,64.71,52.94,64.71,47.06,41.18,35.29,29.41,58.82,41.18,5.88,23.53,29.41,64.71,35.29,58.82,41.18,64.71,58.82,58.82,64.71,41.18,52.94,0.0,0.0
2024-07,100.0,86.67,53.33,26.67,46.67,46.67,40.0,53.33,53.33,33.33,40.0,13.33,40.0,53.33,13.33,13.33,26.67,6.67,53.33,40.0,53.33,33.33,60.0,46.67,73.33,53.33,46.67,60.0,0.0,0.0,0.0
2024-08,100.0,33.33,33.33,33.33,33.33,33.33,33.33,33.33,66.67,100.0,0.0,0.0,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,33.33,33.33,0.0,100.0,100.0,66.67,66.67,0.0,0.0,0.0,0.0
2025-06,100.0,0.0,100.0,100.0,0.0,0.0,63.64,100.0,9.09,90.91,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,100.0,100.0,0.0,35.71,64.29,0.0,100.0,100.0,100.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
